county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Elgeyo Marakwet,(Intercept),3.854,0.194,19.843,0,3.535,4.174,Significant
Elgeyo Marakwet,Animal Incidence,0.584,0.394,1.482,0.142,-0.064,1.233,Not Significant
Embu,(Intercept),0.474,0.04,11.791,0,0.408,0.54,Significant
Embu,Animal Incidence,0.064,0.069,0.93,0.355,-0.049,0.177,Not Significant
Garissa,(Intercept),1.085,0.054,20.086,0,0.996,1.173,Significant
Garissa,Animal Incidence,-0.198,0.227,-0.872,0.386,-0.571,0.175,Not Significant
Homa Bay,(Intercept),0.647,0.039,16.661,0,0.583,0.711,Significant
Homa Bay,Animal Incidence,0.146,0.163,0.898,0.372,-0.122,0.414,Not Significant
Kajiado,(Intercept),1.131,0.05,22.553,0,1.048,1.213,Significant
Kajiado,Animal Incidence,0.193,0.306,0.631,0.53,-0.311,0.697,Not Significant
Kakamega,(Intercept),0.491,0.018,27.847,0,0.462,0.52,Significant
Kakamega,Animal Incidence,0.019,0.163,0.115,0.909,-0.249,0.287,Not Significant
Kiambu,(Intercept),0.336,0.013,26.484,0,0.315,0.357,Significant
Kiambu,Animal Incidence,-0.191,0.558,-0.342,0.733,-1.109,0.727,Not Significant
Kisii,(Intercept),2.315,0.095,24.442,0,2.16,2.471,Significant
Kisii,Animal Incidence,0.24,0.668,0.36,0.72,-0.859,1.34,Not Significant
Kitui,(Intercept),0.715,0.04,17.693,0,0.648,0.781,Significant
Kitui,Animal Incidence,0.015,0.041,0.372,0.711,-0.052,0.083,Not Significant
Laikipia,(Intercept),0.944,0.058,16.15,0,0.847,1.04,Significant
Laikipia,Animal Incidence,-0.12,0.111,-1.086,0.28,-0.303,0.062,Not Significant
Machakos,(Intercept),0.453,0.024,19.29,0,0.415,0.492,Significant
Machakos,Animal Incidence,-0.111,0.193,-0.574,0.567,-0.428,0.207,Not Significant
Mandera,(Intercept),0.521,0.032,16.294,0,0.469,0.574,Significant
Mandera,Animal Incidence,0.003,0.001,3.679,0,0.002,0.005,Significant
