"","county","date","diagnosis","catt_cases","goat_cases","shp_cases","cam_cases","diseases","hum_cases","species","farming","agropastoral","pastoral","fishing","riverine","year","hum_pop","incidence","sheep_pop","goat_pop","cam_pop","donkeys_pop","pigs_pop","catt_pop","catt_incidence","cam_incidence","goat_incidence","shp_incidence","human_incidence"
"1","Baringo",2014-01-01,"Clinical",NA,NA,NA,NA,"brucellosis",168,"Human","Yes","Yes","No","No","No",2014,598102,28,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,28
"2","Baringo",2014-01-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"3","Baringo",2014-02-01,"Clinical",NA,NA,NA,NA,"brucellosis",122,"Human","Yes","Yes","No","No","No",2014,598102,20,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,20
"4","Baringo",2014-02-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"5","Baringo",2014-03-01,"Clinical",NA,NA,NA,NA,"brucellosis",178,"Human","Yes","Yes","No","No","No",2014,598102,30,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,30
"6","Baringo",2014-03-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"7","Baringo",2014-04-01,"Clinical",NA,NA,NA,NA,"brucellosis",140,"Human","Yes","Yes","No","No","No",2014,598102,23,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,23
"8","Baringo",2014-04-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"9","Baringo",2014-05-01,"Clinical",NA,NA,NA,NA,"brucellosis",127,"Human","Yes","Yes","No","No","No",2014,598102,21,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,21
"10","Baringo",2014-05-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"11","Baringo",2014-06-01,"Clinical",NA,NA,NA,NA,"brucellosis",165,"Human","Yes","Yes","No","No","No",2014,598102,28,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,28
"12","Baringo",2014-06-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"13","Baringo",2014-07-01,"Clinical",NA,NA,NA,NA,"brucellosis",122,"Human","Yes","Yes","No","No","No",2014,598102,20,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,20
"14","Baringo",2014-07-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"15","Baringo",2014-08-01,"Clinical",NA,NA,NA,NA,"brucellosis",171,"Human","Yes","Yes","No","No","No",2014,598102,29,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,29
"16","Baringo",2014-08-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"17","Baringo",2014-09-01,"Clinical",NA,NA,NA,NA,"brucellosis",200,"Human","Yes","Yes","No","No","No",2014,598102,33,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,33
"18","Baringo",2014-09-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"19","Baringo",2014-10-01,"Clinical",NA,NA,NA,NA,"brucellosis",234,"Human","Yes","Yes","No","No","No",2014,598102,39,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,39
"20","Baringo",2014-10-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"21","Baringo",2014-11-01,"Clinical",NA,NA,NA,NA,"brucellosis",129,"Human","Yes","Yes","No","No","No",2014,598102,22,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,22
"22","Baringo",2014-11-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"23","Baringo",2014-12-01,"Clinical",NA,NA,NA,NA,"brucellosis",142,"Human","Yes","Yes","No","No","No",2014,598102,24,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,24
"24","Baringo",2014-12-01,"Laboratory",NA,NA,NA,NA,"brucellosis",NA,"Human","Yes","Yes","No","No","No",2014,598102,NA,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,NA
"25","Baringo",2015-01-01,"Clinical",NA,NA,NA,NA,"brucellosis",165,"Human","Yes","Yes","No","No","No",2015,611244,27,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,27
"26","Baringo",2015-01-01,"Laboratory",NA,NA,NA,NA,"brucellosis",100,"Human","Yes","Yes","No","No","No",2015,611244,16,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,16
"27","Baringo",2015-02-01,"Clinical",NA,NA,NA,NA,"brucellosis",293,"Human","Yes","Yes","No","No","No",2015,611244,48,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,48
"28","Baringo",2015-02-01,"Laboratory",NA,NA,NA,NA,"brucellosis",310,"Human","Yes","Yes","No","No","No",2015,611244,51,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,51
"29","Baringo",2015-03-01,"Clinical",NA,NA,NA,NA,"brucellosis",168,"Human","Yes","Yes","No","No","No",2015,611244,27,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,27
"30","Baringo",2015-03-01,"Laboratory",NA,NA,NA,NA,"brucellosis",553,"Human","Yes","Yes","No","No","No",2015,611244,90,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,90
"31","Baringo",2015-04-01,"Clinical",NA,NA,NA,NA,"brucellosis",124,"Human","Yes","Yes","No","No","No",2015,611244,20,686686,1867454,77000,36218,864,819692,NA,NA,NA,NA,20
