date,county,diseases,diagnosis,species,disease_value
2021-01-01,Baringo,Brucellosis,Clinically confirmed,Human,312
2021-01-01,Baringo,Brucellosis,Lab confirmed,Human,857
2021-01-01,Bomet,Brucellosis,Clinically confirmed,Human,97
2021-01-01,Bomet,Brucellosis,Lab confirmed,Human,469
2021-01-01,Bungoma,Brucellosis,Clinically confirmed,Human,852
2021-01-01,Bungoma,Brucellosis,Lab confirmed,Human,2345
2021-01-01,Busia,Brucellosis,Clinically confirmed,Human,78
2021-01-01,Busia,Rvf,Clinically confirmed,Human,1
2021-01-01,Busia,Brucellosis,Lab confirmed,Human,956
2021-01-01,Elgeyo Marakwet,Brucellosis,Clinically confirmed,Human,337
2021-01-01,Elgeyo Marakwet,Brucellosis,Lab confirmed,Human,1224
2021-01-01,Embu,Brucellosis,Clinically confirmed,Human,55
2021-01-01,Embu,Brucellosis,Lab confirmed,Human,560
2021-01-01,Garissa,Brucellosis,Clinically confirmed,Human,81
2021-01-01,Garissa,Brucellosis,Lab confirmed,Human,631
2021-01-01,Homa Bay,Brucellosis,Clinically confirmed,Human,74
2021-01-01,Homa Bay,Brucellosis,Lab confirmed,Human,751
2021-01-01,Isiolo,Brucellosis,Clinically confirmed,Human,159
2021-01-01,Isiolo,Brucellosis,Lab confirmed,Human,420
2021-01-01,Kajiado,Brucellosis,Clinically confirmed,Human,134
2021-01-01,Kajiado,Anthrax,Clinically confirmed,Human,2
2021-01-01,Kajiado,Brucellosis,Lab confirmed,Human,891
2021-01-01,Kakamega,Brucellosis,Clinically confirmed,Human,158
2021-01-01,Kakamega,Brucellosis,Lab confirmed,Human,629
2021-01-01,Kericho,Brucellosis,Clinically confirmed,Human,103
2021-01-01,Kericho,Brucellosis,Lab confirmed,Human,676
2021-01-01,Kiambu,Brucellosis,Clinically confirmed,Human,76
2021-01-01,Kiambu,Anthrax,Clinically confirmed,Human,5
2021-01-01,Kiambu,Brucellosis,Lab confirmed,Human,477
2021-01-01,Kilifi,Brucellosis,Clinically confirmed,Human,17
2021-01-01,Kilifi,Brucellosis,Lab confirmed,Human,78
2021-01-01,Kirinyaga,Brucellosis,Clinically confirmed,Human,5
2021-01-01,Kirinyaga,Brucellosis,Lab confirmed,Human,216
2021-01-01,Kisii,Brucellosis,Clinically confirmed,Human,468
2021-01-01,Kisii,Brucellosis,Lab confirmed,Human,2577
2021-01-01,Kisumu,Brucellosis,Clinically confirmed,Human,77
2021-01-01,Kisumu,Anthrax,Clinically confirmed,Human,2
2021-01-01,Kisumu,Brucellosis,Lab confirmed,Human,489
2021-01-01,Kitui,Brucellosis,Clinically confirmed,Human,208
2021-01-01,Kitui,Brucellosis,Lab confirmed,Human,786
2021-01-01,Laikipia,Brucellosis,Clinically confirmed,Human,204
2021-01-01,Laikipia,Rvf,Clinically confirmed,Human,1
2021-01-01,Laikipia,Brucellosis,Lab confirmed,Human,237
2021-01-01,Lamu,Brucellosis,Clinically confirmed,Human,1
2021-01-01,Lamu,Brucellosis,Lab confirmed,Human,15
2021-01-01,Machakos,Brucellosis,Clinically confirmed,Human,178
2021-01-01,Machakos,Brucellosis,Lab confirmed,Human,428
2021-01-01,Makueni,Brucellosis,Clinically confirmed,Human,22
2021-01-01,Makueni,Brucellosis,Lab confirmed,Human,399
2021-01-01,Mandera,Brucellosis,Clinically confirmed,Human,35
2021-01-01,Mandera,Brucellosis,Lab confirmed,Human,281
2021-01-01,Marsabit,Brucellosis,Clinically confirmed,Human,199
2021-01-01,Marsabit,Brucellosis,Lab confirmed,Human,566
2021-01-01,Meru,Brucellosis,Clinically confirmed,Human,75
2021-01-01,Meru,Brucellosis,Lab confirmed,Human,568
2021-01-01,Migori,Brucellosis,Clinically confirmed,Human,293
2021-01-01,Migori,Brucellosis,Lab confirmed,Human,1465
2021-01-01,Mombasa,Brucellosis,Clinically confirmed,Human,5
2021-01-01,Mombasa,Brucellosis,Lab confirmed,Human,27
2021-01-01,Murang'a,Brucellosis,Clinically confirmed,Human,15
2021-01-01,Murang'a,Anthrax,Clinically confirmed,Human,229
2021-01-01,Murang'a,Brucellosis,Lab confirmed,Human,117
2021-01-01,Nairobi,Brucellosis,Clinically confirmed,Human,230
2021-01-01,Nairobi,Anthrax,Clinically confirmed,Human,18
2021-01-01,Nairobi,Brucellosis,Lab confirmed,Human,797
2021-01-01,Nakuru,Brucellosis,Clinically confirmed,Human,610
2021-01-01,Nakuru,Brucellosis,Lab confirmed,Human,2829
2021-01-01,Nandi,Brucellosis,Clinically confirmed,Human,430
2021-01-01,Nandi,Brucellosis,Lab confirmed,Human,805
