county,sub_county,year_1,month_2,disease_condition,nature_of_diagnosis_clinical_lab_pm,species,no_sick,deaths,diagnosis,date
Kilifi,Kilifi South,2017,February,Anthrax,Laboratory,Bovine,5,2,Lab confirmed,2017-02-01
Bomet,Bomet,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Bomet,sotik,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Embu,Embu West,2014,July,Anthrax,Clinical,Bovine,7,7,Clinically confirmed,2014-07-01
Kericho,Kericho East,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Kericho,kericho West,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Kericho,kericho,2014,November,Rabies,Lab,canine,1,0,Lab confirmed,2014-11-01
Kericho,kericho,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Kericho,Buret,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Kericho,Buret,2014,November,Rabies,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Kericho,Kipkelion West,2014,November,Rabies,Lab,canine,1,0,Lab confirmed,2014-11-01
Kericho,Soin/Sigowet,2014,June,Anthrax,Lab,Bovine,1,1,Lab confirmed,2014-06-01
Kiambu,Githuguri,2014,December,Rabies,Lab,Bovine,1,1,Lab confirmed,2014-12-01
Makueni,kaiti,2014,December,Rabies,Lab,canine,1,0,Lab confirmed,2014-12-01
Makueni,Makindu,2014,November,Rvf,Lab,Caprine,18,2,Lab confirmed,2014-11-01
Murang'a,Murang'a East,2014,August,Rabies,Clinical,Canine,3,1,Clinically confirmed,2014-08-01
Nairobi,Kasarani-,2014,July,Anthrax,Clinical,Bovine,5,2,Clinically confirmed,2014-07-01
Nakuru,Naivasha,2014,July,Anthrax,Clinical,Bovine,26,6,Clinically confirmed,2014-07-01
Nakuru,Naivasha,2014,July,Rabies,Clinical,Canine,6,0,Clinically confirmed,2014-07-01
Nakuru,Njoro,2014,July,Rabies,Clinical,Canine,9,0,Clinically confirmed,2014-07-01
Nakuru,Nakuru West,2014,June,Anthrax,Clinical,Bovine,26,6,Clinically confirmed,2014-06-01
Nakuru,Naivasha,2014,June,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2014-06-01
Nakuru,Naivasha,2014,June,Rabies,Clinical,Canine,1,1,Clinically confirmed,2014-06-01
Nakuru,Naivasha,2014,September,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2014-09-01
Nakuru,Kiptoror Ward,2014,July,Anthrax,clinical,Bovine,6,6,Clinically confirmed,2014-07-01
Nakuru,Nakuru West,2014,July,Anthrax,Lab,Caprine/Ovine,2,0,Lab confirmed,2014-07-01
Narok,Narok North,2014,July,Rabies,Clinical,Canine,2,0,Clinically confirmed,2014-07-01
Nyeri,Nyeri central,2014,November,Brucellosis,Lab,Bovine,1,0,Lab confirmed,2014-11-01
Bomet,Abosi,2014,September,Rabies,Clinical,Canine,1,0,Clinically confirmed,2014-09-01
Uasin Gishu,UasinGishu,2014,October,Brucellosis,Lab,Bovine,2,0,Lab confirmed,2014-10-01
West Pokot,Pokot North,2014,June,Rabies,Clinical,Caprine,2,1,Clinically confirmed,2014-06-01
West Pokot,Pokot North,2014,June,Rabies,Clinical,Canine,1,1,Clinically confirmed,2014-06-01
Bomet,Sotik,2015,December,Rabies,Clinical,BOVINE,1,0,Clinically confirmed,2015-12-01
Bomet,Sotik,2015,May,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-05-01
Bomet,Sotik,2015,May,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-05-01
Bomet,Sotik,2015,May,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-05-01
Busia,Busia,2015,July,Rabies,Lab,Canine,1,1,Lab confirmed,2015-07-01
Elgeyo Marakwet,Ainabkoi,2015,October,Rabies,Lab,RAT,1,1,Lab confirmed,2015-10-01
Elgeyo Marakwet,Elgeyo Marakwet,2015,February,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-02-01
Garissa,Garissa,2015,March,Brucellosis,Lab,Camelidae,1,0,Lab confirmed,2015-03-01
Garissa,Fafi,2015,December,Rvf,Lab,Caprine,1,0,Lab confirmed,2015-12-01
Garissa,Fafi,2015,December,Rvf,Lab,Ovine,1,0,Lab confirmed,2015-12-01
Garissa,Fafi,2015,December,Brucellosis,Lab,Caprine,1,0,Lab confirmed,2015-12-01
Garissa,Fafi,2015,December,Brucellosis,Lab,Ovine,1,0,Lab confirmed,2015-12-01
Kajiado,Kitengela,2015,July,Rabies,Lab,Canine,1,1,Lab confirmed,2015-07-01
Kajiado,Magadi,2015,July,Rabies,Lab,Canine,1,1,Lab confirmed,2015-07-01
Nyeri,Othaya,2015,July,Rabies,Lab,Canine,1,1,Lab confirmed,2015-07-01
Nyeri,Karatina,2015,July,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-07-01
Kericho,Bureti,2015,October,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-10-01
Kericho,Kericho West,2015,December,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-12-01
Kericho,Kericho west,2015,February,Anthrax,Lab,caprine,5,5,Lab confirmed,2015-02-01
Kericho,Bureti,2015,May,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-05-01
Kericho,Kericho East,2015,May,Rabies,Lab,Bovine,2,2,Lab confirmed,2015-05-01
Kericho,Kericho East,2015,June,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-06-01
Kericho,Kericho West,2015,August,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-08-01
Kericho,Kericho West,2015,August,Rabies,Lab,Bobine,1,1,Lab confirmed,2015-08-01
Kericho,Kericho East,2015,Sep,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-09-01
Kericho,Kericho West,2015,Sep,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-09-01
Kiambu,Githunguri,2015,February,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-02-01
Kiambu,Kiambaa,2015,March,Rabies,Lab,Canine,1,1,Lab confirmed,2015-03-01
Kiambu,Githunguri,2015,July,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-07-01
Kiambu,Githunguri,2015,July,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-07-01
Kiambu,Ruiru,2015,July,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-07-01
Kilifi,kaloleni,2015,December,Rabies,Lab,Cani,1,0,Lab confirmed,2015-12-01
Kilifi,Kaloleni,2015,March,Rvf,Lab,Ovine,1,0,Lab confirmed,2015-03-01
Kilifi,Malindi,2015,August,Brucellosis,Lab,Caprine,7,0,Lab confirmed,2015-08-01
Kilifi,Mariakani,2015,Sep,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2015-09-01
Kirinyaga,Kirinyaga East,2015,February,Brucellosis,Lab,Bovine,2,0,Lab confirmed,2015-02-01
Kirinyaga,Kirinyaga West,2015,March,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-03-01
Kisumu,Nyakach,2015,June,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2015-06-01
Kitui,Mutomo,2015,July,Rabies,Lab,Bovine,1,1,Lab confirmed,2015-07-01
Laikipia,Laikipia West,2015,April,Rabies,Clinical,Bovine & canine,5,0,Clinically confirmed,2015-04-01
