periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Upper Respiratory Tract Infections,Respiratory Tuberculosis,Other  Dis. Of  Respiratory System,Other acute lower respiratory infections,"Ca of trachea, bronchus and lung",Total number of new cancer patients
202001,January 2020,202001,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,30127,5,5491,5,,
202001,January 2020,202001,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,7787,,810,1,,
202001,January 2020,202001,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,5089,,690,,,
202001,January 2020,202001,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,7100,5,1136,,,
202001,January 2020,202001,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4501,,1616,4,,
202001,January 2020,202001,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2479,,825,,,
202001,January 2020,202001,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3171,,414,,,
202002,February 2020,202002,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,31788,3,5681,3,,
202002,February 2020,202002,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,7895,3,1047,,,
202002,February 2020,202002,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,4588,,484,,,
202002,February 2020,202002,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,8632,,1117,,,
202002,February 2020,202002,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,4840,,1443,3,,
202002,February 2020,202002,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2372,,890,,,
202002,February 2020,202002,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3461,,700,,,
202003,March 2020,202003,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,34920,1,6705,1,,
202003,March 2020,202003,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,9506,1,973,1,,
202003,March 2020,202003,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,5662,,674,,,
202003,March 2020,202003,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,7696,,2120,,,
202003,March 2020,202003,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,5163,,1457,,,
202003,March 2020,202003,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,2899,,813,,,
202003,March 2020,202003,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,3994,,668,,,
202004,April 2020,202004,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,18105,2,3054,1,,
202004,April 2020,202004,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,5258,1,530,1,,
202004,April 2020,202004,,Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,2881,1,442,,,
202004,April 2020,202004,,Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,4039,,466,,,
202004,April 2020,202004,,Kenya,Siaya County,Rarieda Sub County,XcRpb1xsM64,Rarieda Sub County,KE_SubCounty_3200,,2499,,691,,,
202004,April 2020,202004,,Kenya,Siaya County,Ugenya Sub County,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,1486,,465,,,
202004,April 2020,202004,,Kenya,Siaya County,Ugunja Sub County,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,1942,,460,,,
202005,May 2020,202005,,Kenya,Siaya County,,u4t9H8XyU9P,Siaya County,KE_County_41,,15571,4,3234,1,,
202005,May 2020,202005,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,4733,,595,,,
