periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202301,January 2023,202301,,vvOK1BxTbet,Baringo County,KE_County_30,,1236,562
202301,January 2023,202301,,HMNARUV2CW4,Bomet County,KE_County_36,,248,57
202301,January 2023,202301,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3341,685
202301,January 2023,202301,,Tvf1zgVZ0K4,Busia County,KE_County_40,,622,107
202301,January 2023,202301,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1153,460
202301,January 2023,202301,,PFu8alU2KWG,Embu County,KE_County_14,,401,91
202301,January 2023,202301,,uyOrcHZBpW0,Garissa County,KE_County_7,,525,42
202301,January 2023,202301,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,639,212
202301,January 2023,202301,,bzOfj0iwfDH,Isiolo County,KE_County_11,,421,98
202301,January 2023,202301,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,756,86
202301,January 2023,202301,,BjC1xL40gHo,Kakamega County,KE_County_37,,788,195
202301,January 2023,202301,,ihZsJ8alvtb,Kericho County,KE_County_35,,2740,689
202301,January 2023,202301,,qKzosKQPl6G,Kiambu County,KE_County_22,,198,11
202301,January 2023,202301,,nrI2khZx3d0,Kilifi County,KE_County_3,,56,37
202301,January 2023,202301,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,125,2
202301,January 2023,202301,,sPkRcDvhGWA,Kisii County,KE_County_45,,3552,641
202301,January 2023,202301,,tAbBVBbueqD,Kisumu County,KE_County_42,,617,358
202301,January 2023,202301,,j8o6iO4Njsi,Kitui County,KE_County_15,,531,188
202301,January 2023,202301,,N7YETT3A9r1,Kwale County,KE_County_2,,33,41
202301,January 2023,202301,,xuFdFy6t9AH,Laikipia County,KE_County_31,,150,43
202301,January 2023,202301,,NjWSbQTwys4,Lamu County,KE_County_5,,3,1
202301,January 2023,202301,,yhCUgGcCcOo,Machakos County,KE_County_16,,174,51
202301,January 2023,202301,,BoDytkJQ4Qi,Makueni County,KE_County_17,,203,45
202301,January 2023,202301,,R6f9znhg37c,Mandera County,KE_County_9,,250,30
202301,January 2023,202301,,Eey8fT4Im3y,Marsabit County,KE_County_10,,467,145
202301,January 2023,202301,,Y52XNJ50hYb,Meru County,KE_County_12,,99,116
202301,January 2023,202301,,fVra3Pwta0Q,Migori County,KE_County_44,,881,454
202301,January 2023,202301,,wsBsC6gjHvn,Mombasa County,KE_County_1,,30,1
202301,January 2023,202301,,ahwTMNAJvrL,Muranga County,KE_County_21,,50,26
202301,January 2023,202301,,jkG3zaihdSs,Nairobi County,KE_County_47,,840,151
202301,January 2023,202301,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2060,557
202301,January 2023,202301,,t0J75eHKxz5,Nandi County,KE_County_29,,844,462
202301,January 2023,202301,,kqJ83J2D72s,Narok County,KE_County_33,,890595,534
202301,January 2023,202301,,uepLTG8wGWJ,Nyamira County,KE_County_46,,694,192
202301,January 2023,202301,,mYZacFNIB3h,Nyandarua County,KE_County_18,,573,30
202301,January 2023,202301,,ptWVfaCIdVx,Nyeri County,KE_County_19,,94,1
202301,January 2023,202301,,o36zCRjSd4G,Samburu County,KE_County_25,,230,56
202301,January 2023,202301,,u4t9H8XyU9P,Siaya County,KE_County_41,,384,71
202301,January 2023,202301,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,73,8
202301,January 2023,202301,,JsH2bnvNt2d,Tana River County,KE_County_4,,136,24
202301,January 2023,202301,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,504,66
202301,January 2023,202301,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2017,449
202301,January 2023,202301,,kphDeKClFch,Turkana County,KE_County_23,,737,218
202301,January 2023,202301,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1439,491
202301,January 2023,202301,,sANMZ3lpqGs,Vihiga County,KE_County_38,,236,72
202301,January 2023,202301,,CeLsrJOH0g9,Wajir County,KE_County_8,,192,14
202301,January 2023,202301,,XWALbfAPa6n,West Pokot County,KE_County_24,,1663,314
202302,February 2023,202302,,vvOK1BxTbet,Baringo County,KE_County_30,,1135,384
202302,February 2023,202302,,HMNARUV2CW4,Bomet County,KE_County_36,,629,71
202302,February 2023,202302,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3200,658
202302,February 2023,202302,,Tvf1zgVZ0K4,Busia County,KE_County_40,,473,85
202302,February 2023,202302,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1467,553
202302,February 2023,202302,,PFu8alU2KWG,Embu County,KE_County_14,,545,120
202302,February 2023,202302,,uyOrcHZBpW0,Garissa County,KE_County_7,,566,175
202302,February 2023,202302,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,825,263
202302,February 2023,202302,,bzOfj0iwfDH,Isiolo County,KE_County_11,,437,155
202302,February 2023,202302,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,634,126
202302,February 2023,202302,,BjC1xL40gHo,Kakamega County,KE_County_37,,729,141
202302,February 2023,202302,,ihZsJ8alvtb,Kericho County,KE_County_35,,2734,704
202302,February 2023,202302,,qKzosKQPl6G,Kiambu County,KE_County_22,,210,19
202302,February 2023,202302,,nrI2khZx3d0,Kilifi County,KE_County_3,,27,19
202302,February 2023,202302,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,196,2
202302,February 2023,202302,,sPkRcDvhGWA,Kisii County,KE_County_45,,3488,738
202302,February 2023,202302,,tAbBVBbueqD,Kisumu County,KE_County_42,,388,87
202302,February 2023,202302,,j8o6iO4Njsi,Kitui County,KE_County_15,,448,112
202302,February 2023,202302,,N7YETT3A9r1,Kwale County,KE_County_2,,0,11
202302,February 2023,202302,,xuFdFy6t9AH,Laikipia County,KE_County_31,,77,24
202302,February 2023,202302,,NjWSbQTwys4,Lamu County,KE_County_5,,7,
202302,February 2023,202302,,yhCUgGcCcOo,Machakos County,KE_County_16,,170,52
202302,February 2023,202302,,BoDytkJQ4Qi,Makueni County,KE_County_17,,156,46
202302,February 2023,202302,,R6f9znhg37c,Mandera County,KE_County_9,,569,68
202302,February 2023,202302,,Eey8fT4Im3y,Marsabit County,KE_County_10,,466,234
202302,February 2023,202302,,Y52XNJ50hYb,Meru County,KE_County_12,,123,65
