"","date","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence"
"1",2014-06-01,0.671,0,0,0,0
"2",2014-07-01,0.7943,0,0,0,0
"3",2014-08-01,0.8207,0,0,0,0
"4",2014-09-01,0.6348,0,0,0,0
"5",2014-10-01,0.7347,0.0654,0,0,0
"6",2014-11-01,0.5448,0.0319,0,0,0
"7",2014-12-01,0.6327,0,0,0,0
"8",2015-01-01,1.4545,0,0,0,0
"9",2015-02-01,1.9679,0.4296,0,0,0
"10",2015-03-01,2.2573,0.423,0.1078,1.8161,0
"11",2015-04-01,2.0584,0,0,0,0
"12",2015-05-01,2.1642,0,0,0,0
"13",2015-06-01,2.6361,0,0,0,0
"14",2015-07-01,2.8919,0,0,0,0
"15",2015-08-01,2.6292,0,0,0.1249,0
"16",2015-09-01,2.4039,0,0,0,0
"17",2015-10-01,2.632,0,0,0,0
"18",2015-11-01,2.2832,0,0,0,0
"19",2015-12-01,2.5527,0,0,0.0181,0.026
"20",2016-01-01,3.2208,0,0,0,0
"21",2016-02-01,3.8597,0,0,0,0
"22",2016-03-01,3.7094,0,0,0,0
"23",2016-04-01,3.2516,0,0,0,0
"24",2016-05-01,3.6286,0,0,0,0
"25",2016-06-01,4.1417,0,0,0,0
"26",2016-07-01,4.503,0,0,0,0
"27",2016-08-01,4.6037,0,0,0.0714,0
"28",2016-09-01,4.7704,0,0,0,0
"29",2016-10-01,4.6139,0,0,0,0
"30",2016-11-01,3.9178,0,0,0,0
"31",2016-12-01,2.8152,0,0,0,0
"32",2017-01-01,3.8414,0.0319,0,0,0
"33",2017-02-01,4.0397,0,0,0,0
"34",2017-03-01,4.7112,0,0,0,0
"35",2017-04-01,4.1448,0,0,0,0
"36",2017-05-01,4.2047,0,0,0,0
"37",2017-06-01,3.5689,0,0,0,0
"38",2017-07-01,3.3566,0,0,0,0
"39",2017-08-01,3.1429,0,0,0,0
"40",2017-09-01,3.0922,0,0,0,0
"41",2017-10-01,3.5467,0,0,0,0
"42",2017-11-01,4.0045,0.0317,0,0.1785,0
"43",2017-12-01,3.9135,0,0,0,0
"44",2018-01-01,4.7584,0,0,0.0178,0
"45",2018-02-01,4.6638,0.0319,0,0,0
"46",2018-03-01,4.4588,0,0,0.0179,0
"47",2018-04-01,4.1958,0.0317,0,0,0
"48",2018-05-01,4.9814,0,0,0,0
"49",2018-06-01,4.9867,0.0951,0,0,0
"50",2018-07-01,5.4147,2.7749,0,9.4576,0
"51",2018-08-01,4.6961,0,0,0,0
"52",2018-09-01,4.7132,0.0638,0,0,0
"53",2018-10-01,5.0651,0.0634,0,0,0
"54",2018-11-01,4.4707,0.0317,0,0,0
"55",2018-12-01,3.876,0,0,0,0
"56",2019-01-01,4.8152,0.0317,0,0,0
"57",2019-02-01,4.3827,0.0634,0,0.0892,0
"58",2019-03-01,5.1545,0.0638,0,0,0.3114
"59",2019-04-01,4.9369,0,0,0,0
"60",2019-05-01,4.8838,0.6339,0,0.2142,0.0777
"61",2019-06-01,4.6685,0.0951,0,0,0
"62",2019-07-01,5.5496,0.5103,0,0.1612,0
"63",2019-08-01,5.0113,0.0951,0,0.0357,0
"64",2019-09-01,5.3361,0.0638,0,0.2329,0.0519
"65",2019-10-01,5.7115,0.0317,0,0,0
"66",2019-11-01,4.338,0.317,0,0,0
"67",2019-12-01,4.344,0.0319,0,0,0
"68",2020-01-01,4.9344,0.0317,0.1078,0,0
"69",2020-02-01,4.9384,0,0,0,0
"70",2020-03-01,5.2486,0.6698,0,0.0358,0
"71",2020-04-01,3.6376,0.0317,0,0.0357,0.2331
"72",2020-05-01,3.9851,0.0319,0,0.2866,0.026
"73",2020-06-01,4.3921,0,0,0.0178,0
"74",2020-07-01,4.5684,0.2536,1.4008,0.0357,0
"75",2020-08-01,4.4175,0,0,0.0892,0.2072
"76",2020-09-01,4.4746,0,0,0,0
"77",2020-10-01,4.8175,0.7607,0,0.357,0
"78",2020-11-01,4.5189,0.1902,0,0.0535,0
"79",2020-12-01,3.3264,0.412,0,0.0178,0
"80",2021-01-01,12.0563,0.291,0,0.4162,0.1561
"81",2021-02-01,14.1546,0.2536,0,0,0.0259
"82",2021-03-01,16.5518,0.1902,0,0.2856,0.2072
"83",2021-04-01,15.3969,0.4437,0,0.0178,0.0518
"84",2021-05-01,14.2302,2.2504,0,1.5172,0.0259
"85",2021-06-01,15.2165,0.9826,0,0.4998,0
"86",2021-07-01,14.2163,0,0,0,0
"87",2021-08-01,15.0736,0,0,0,0
"88",2021-09-01,16.603,0,0,0,0
"89",2021-10-01,13.737,0,0,0,0
"90",2021-11-01,14.4536,0,0,0,0
"91",2021-12-01,14.6013,0.0634,0.1078,0.4819,0
