"","effect","variable","log IRR","IRR","std.error","statistic","p.value","conf_low","conf_high","lag","nobs","AIC","BIC","significance"
"1","fixed","(Intercept)",2.2108,9.123,0.1932,11.4404,0,1.8929,2.5287,0,94,576.2942,589.0107,"Significant"
"2","fixed","Cattle incidence",-4e-04,0.9996,3e-04,-1.3001,0.1936,-9e-04,1e-04,0,94,576.2942,589.0107,"Not Significant"
"3","fixed","Goat Incidence",0.001,1.001,0.001,0.9869,0.3237,-7e-04,0.0026,0,94,576.2942,589.0107,"Not Significant"
"4","Random","Sd - Random Intercept",1.0456,NA,NA,NA,NA,NA,NA,0,94,576.2942,589.0107,NA
"5","fixed","(Intercept)",2.1816,8.8606,0.2005,10.8828,0,1.8518,2.5114,1,93,571.9837,584.6467,"Significant"
"6","fixed","Cattle incidence",-2e-04,0.9998,3e-04,-0.6969,0.4859,-6e-04,2e-04,1,93,571.9837,584.6467,"Not Significant"
"7","fixed","Goat Incidence",-9e-04,0.9991,0.0011,-0.8188,0.4129,-0.0027,9e-04,1,93,571.9837,584.6467,"Not Significant"
"8","Random","Sd - Random Intercept",1.0987,NA,NA,NA,NA,NA,NA,1,93,571.9837,584.6467,NA
"9","fixed","(Intercept)",2.1927,8.959,0.1997,10.9813,0,1.8642,2.5211,2,92,559.8762,572.4852,"Significant"
"10","fixed","Cattle incidence",-3e-04,0.9997,3e-04,-1.0459,0.2956,-8e-04,2e-04,2,92,559.8762,572.4852,"Not Significant"
"11","fixed","Goat Incidence",0.0012,1.0012,6e-04,1.8478,0.0646,1e-04,0.0022,2,92,559.8762,572.4852,"Significant"
"12","Random","Sd - Random Intercept",1.0923,NA,NA,NA,NA,NA,NA,2,92,559.8762,572.4852,NA
"13","fixed","(Intercept)",2.1337,8.4458,0.2071,10.3011,0,1.7929,2.4744,3,91,553.9196,566.4739,"Significant"
"14","fixed","Cattle incidence",0,1,1e-04,-0.4167,0.6769,-2e-04,1e-04,3,91,553.9196,566.4739,"Not Significant"
"15","fixed","Goat Incidence",0,1,6e-04,0.0652,0.948,-0.001,0.0011,3,91,553.9196,566.4739,"Not Significant"
"16","Random","Sd - Random Intercept",1.1223,NA,NA,NA,NA,NA,NA,3,91,553.9196,566.4739,NA
