periodid,periodname,periodcode,perioddescription,Brucellosis,MOH 706_Brucella
202201,January 2022,202201,,10752,40150
202202,February 2022,202202,,8614,34069
202203,March 2022,202203,,8780,37037
202204,April 2022,202204,,7571,31323
202205,May 2022,202205,,14886,36999
202206,June 2022,202206,,10350,38840
202207,July 2022,202207,,8717,36382
202208,August 2022,202208,,8233,31901
202209,September 2022,202209,,8213,33719
202210,October 2022,202210,,9453,37557
202211,November 2022,202211,,9413,37555
202212,December 2022,202212,,8255,31818
