county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Baringo,(Intercept),1.664,0.085,19.609,0,1.524,1.803,Significant
Baringo,Cattle incidence,0.451,0.456,0.989,0.326,-0.299,1.201,Not Significant
Baringo,Goat Incidence,0.342,0.243,1.403,0.164,-0.059,0.742,Not Significant
Baringo,Sheep incidence,-1.443,1.536,-0.94,0.35,-3.969,1.083,Not Significant
Baringo,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,(Intercept),0.924,0.043,21.61,0,0.854,0.995,Significant
Bomet,Cattle incidence,0.075,0.049,1.536,0.128,-0.005,0.156,Not Significant
Bomet,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,(Intercept),1.707,0.082,20.822,0,1.572,1.842,Significant
Bungoma,Cattle incidence,0.996,0.546,1.824,0.072,0.098,1.895,Significant
Bungoma,Goat Incidence,0.04,0.085,0.474,0.637,-0.1,0.181,Not Significant
Bungoma,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Busia,(Intercept),0.63,0.08,7.855,0,0.498,0.762,Significant
Busia,Cattle incidence,-0.047,0.207,-0.226,0.822,-0.386,0.293,Not Significant
Busia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Embu,(Intercept),0.471,0.038,12.364,0,0.408,0.534,Significant
Embu,Cattle incidence,0.164,0.071,2.306,0.023,0.047,0.281,Significant
Embu,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,(Intercept),1.078,0.055,19.747,0,0.989,1.168,Significant
Garissa,Cattle incidence,-0.824,5.849,-0.141,0.888,-10.446,8.798,Not Significant
Garissa,Goat Incidence,0.45,0.388,1.161,0.249,-0.188,1.087,Not Significant
Garissa,Sheep incidence,0.047,2.818,0.017,0.987,-4.589,4.683,Not Significant
Garissa,Camel incidence,-1.156,0.834,-1.386,0.169,-2.529,0.216,Not Significant
Isiolo,(Intercept),1.644,0.133,12.407,0,1.426,1.862,Significant
Isiolo,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Camel incidence,0.233,0.376,0.62,0.537,-0.386,0.853,Not Significant
Kajiado,(Intercept),1.138,0.05,22.821,0,1.056,1.22,Significant
Kajiado,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kajiado,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kajiado,Sheep incidence,-0.597,1.066,-0.56,0.577,-2.351,1.157,Not Significant
Kajiado,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kakamega,(Intercept),0.492,0.018,27.885,0,0.463,0.521,Significant
Kakamega,Cattle incidence,-0,0.036,-0.003,0.998,-0.06,0.06,Not Significant
