county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Baringo,(Intercept),1.646,0.085,19.297,0,1.505,1.786,Significant
Baringo,Cattle incidence,0.484,0.461,1.05,0.297,-0.274,1.242,Not Significant
Baringo,Goat Incidence,0.344,0.246,1.399,0.165,-0.06,0.749,Not Significant
Baringo,Sheep incidence,-1.522,1.552,-0.981,0.33,-4.076,1.032,Not Significant
Baringo,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,(Intercept),0.919,0.042,21.675,0,0.85,0.989,Significant
Bomet,Cattle incidence,0.096,0.049,1.979,0.051,0.016,0.176,Significant
Bomet,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,(Intercept),1.713,0.083,20.663,0,1.577,1.849,Significant
Bungoma,Cattle incidence,0.639,0.553,1.156,0.251,-0.27,1.548,Not Significant
Bungoma,Goat Incidence,0.034,0.086,0.389,0.698,-0.108,0.175,Not Significant
Bungoma,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Busia,(Intercept),0.629,0.08,7.842,0,0.497,0.761,Significant
Busia,Cattle incidence,-0.034,0.207,-0.163,0.871,-0.373,0.306,Not Significant
Busia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Busia,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Embu,(Intercept),0.476,0.039,12.269,0,0.412,0.54,Significant
Embu,Cattle incidence,0.099,0.072,1.366,0.175,-0.02,0.218,Not Significant
Embu,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Embu,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,(Intercept),1.076,0.054,20.093,0,0.988,1.164,Significant
Garissa,Cattle incidence,-4.68,5.737,-0.816,0.417,-14.118,4.758,Not Significant
Garissa,Goat Incidence,0.607,0.38,1.596,0.114,-0.019,1.232,Not Significant
Garissa,Sheep incidence,1.705,2.764,0.617,0.539,-2.843,6.252,Not Significant
Garissa,Camel incidence,-1.442,0.818,-1.762,0.082,-2.788,-0.096,Significant
Isiolo,(Intercept),1.633,0.131,12.441,0,1.417,1.849,Significant
Isiolo,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Camel incidence,0.547,0.373,1.467,0.146,-0.066,1.16,Not Significant
Kajiado,(Intercept),1.137,0.05,22.773,0,1.055,1.219,Significant
Kajiado,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kajiado,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kajiado,Sheep incidence,-0.364,1.067,-0.341,0.734,-2.12,1.392,Not Significant
Kajiado,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kakamega,(Intercept),0.492,0.018,27.93,0,0.463,0.521,Significant
Kakamega,Cattle incidence,-0.008,0.036,-0.222,0.825,-0.068,0.052,Not Significant
Kakamega,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kakamega,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kakamega,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kericho,(Intercept),2.142,0.1,21.479,0,1.978,2.306,Significant
Kericho,Cattle incidence,0.691,0.46,1.502,0.137,-0.066,1.447,Not Significant
Kericho,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kericho,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kericho,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kilifi,(Intercept),0.033,0.004,7.734,0,0.026,0.04,Significant
Kilifi,Cattle incidence,-0.001,0.001,-0.429,0.669,-0.003,0.002,Not Significant
Kilifi,Goat Incidence,-0.004,0.006,-0.59,0.557,-0.014,0.006,Not Significant
Kilifi,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kilifi,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kirinyaga,(Intercept),0.271,0.026,10.253,0,0.227,0.314,Significant
Kirinyaga,Cattle incidence,-0.031,0.029,-1.078,0.284,-0.078,0.016,Not Significant
Kirinyaga,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kirinyaga,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kirinyaga,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kisii,(Intercept),2.299,0.095,24.157,0,2.143,2.456,Significant
Kisii,Cattle incidence,0.258,0.227,1.135,0.259,-0.116,0.632,Not Significant
Kisii,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kisii,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kisii,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kitui,(Intercept),0.714,0.041,17.481,0,0.647,0.781,Significant
Kitui,Cattle incidence,0.047,0.289,0.163,0.871,-0.428,0.523,Not Significant
Kitui,Goat Incidence,0.123,0.475,0.259,0.796,-0.659,0.905,Not Significant
Kitui,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kitui,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Kwale,(Intercept),0.094,0.024,3.853,0,0.054,0.134,Significant
Kwale,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kwale,Goat Incidence,-0,0,-0.009,0.993,-0.001,0.001,Not Significant
Kwale,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Kwale,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Laikipia,(Intercept),0.937,0.058,16.215,0,0.842,1.032,Significant
Laikipia,Cattle incidence,-0.033,0.037,-0.888,0.377,-0.094,0.028,Not Significant
Laikipia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Laikipia,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Laikipia,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Machakos,(Intercept),0.455,0.024,19.118,0,0.416,0.494,Significant
Machakos,Cattle incidence,-0.06,0.082,-0.729,0.468,-0.194,0.075,Not Significant
Machakos,Goat Incidence,0.03,0.308,0.097,0.923,-0.477,0.537,Not Significant
Machakos,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Machakos,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Makueni,(Intercept),0.688,0.044,15.706,0,0.616,0.76,Significant
Makueni,Cattle incidence,-0.2,0.114,-1.749,0.084,-0.387,-0.012,Significant
Makueni,Goat Incidence,-0.222,0.474,-0.469,0.64,-1.002,0.558,Not Significant
Makueni,Sheep incidence,-0.005,0.009,-0.557,0.579,-0.02,0.01,Not Significant
Makueni,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Mandera,(Intercept),0.53,0.035,15.35,0,0.474,0.587,Significant
Mandera,Cattle incidence,0.08,0.064,1.246,0.216,-0.026,0.185,Not Significant
Mandera,Goat Incidence,-0.034,0.032,-1.065,0.29,-0.086,0.018,Not Significant
Mandera,Sheep incidence,0.641,0.729,0.879,0.382,-0.558,1.84,Not Significant
Mandera,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Meru,(Intercept),0.347,0.021,16.781,0,0.313,0.381,Significant
Meru,Cattle incidence,-0.011,0.122,-0.091,0.927,-0.213,0.19,Not Significant
Meru,Goat Incidence,-0.019,0.012,-1.537,0.128,-0.039,0.001,Not Significant
Meru,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Meru,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Migori,(Intercept),1.196,0.062,19.34,0,1.095,1.298,Significant
Migori,Cattle incidence,0.126,0.382,0.33,0.742,-0.502,0.754,Not Significant
Migori,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Migori,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Migori,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Mombasa,(Intercept),0.055,0.007,7.833,0,0.043,0.066,Significant
Mombasa,Cattle incidence,-0,0,-0.543,0.589,-0.001,0,Not Significant
Mombasa,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Mombasa,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Mombasa,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Murang'a,(Intercept),0.128,0.008,16.206,0,0.115,0.141,Significant
Murang'a,Cattle incidence,-0.001,0.001,-0.716,0.476,-0.003,0.001,Not Significant
Murang'a,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Murang'a,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Murang'a,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Nakuru,(Intercept),1.586,0.052,30.784,0,1.501,1.671,Significant
Nakuru,Cattle incidence,0.112,0.147,0.764,0.447,-0.129,0.353,Not Significant
Nakuru,Goat Incidence,-0.001,0.049,-0.022,0.982,-0.082,0.08,Not Significant
Nakuru,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Nakuru,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Nandi,(Intercept),2.933,0.19,15.461,0,2.621,3.245,Significant
Nandi,Cattle incidence,1.058,0.509,2.08,0.04,0.221,1.895,Significant
Nandi,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nandi,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Nandi,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Narok,(Intercept),1.597,0.075,21.311,0,1.474,1.721,Significant
Narok,Cattle incidence,0.055,0.03,1.795,0.076,0.005,0.105,Significant
Narok,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Narok,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Narok,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Nyamira,(Intercept),1.738,0.074,23.528,0,1.617,1.86,Significant
Nyamira,Cattle incidence,-0.009,0.009,-1.013,0.314,-0.023,0.006,Not Significant
Nyamira,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nyamira,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Nyamira,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Nyandarua,(Intercept),1.431,0.059,24.26,0,1.334,1.528,Significant
Nyandarua,Cattle incidence,-0.303,0.135,-2.252,0.027,-0.524,-0.082,Significant
Nyandarua,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nyandarua,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Nyandarua,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Nyeri,(Intercept),0.19,0.008,22.382,0,0.176,0.204,Significant
Nyeri,Cattle incidence,-0.001,0.002,-0.222,0.825,-0.004,0.003,Not Significant
Nyeri,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nyeri,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
Nyeri,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Samburu,(Intercept),1.272,0.067,19.053,0,1.162,1.381,Significant
Samburu,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Samburu,Goat Incidence,-0.015,0.091,-0.161,0.873,-0.164,0.135,Not Significant
Samburu,Sheep incidence,0.058,0.09,0.642,0.522,-0.09,0.205,Not Significant
Samburu,Camel incidence,NA,NA,NA,NA,NA,NA,NA
Siaya,(Intercept),0.437,0.024,18.238,0,0.397,0.476,Significant
Siaya,Cattle incidence,-0.012,0.06,-0.201,0.841,-0.111,0.087,Not Significant
Siaya,Goat Incidence,-0.043,0.051,-0.846,0.4,-0.127,0.041,Not Significant
Siaya,Sheep incidence,NA,NA,NA,NA,NA,NA,NA
