variable,estimate,std.error,statistic,p.value,conf_low,conf_high,lag,significance
(Intercept),0.879,0.034,26.209,0,0.824,0.934,0,Significant
Camel incidence,0.159,0.227,0.701,0.485,-0.214,0.533,0,Not Significant
Sheep incidence,0.976,0.628,1.554,0.123,-0.057,2.008,0,Not Significant
Cattle incidence,0.231,0.135,1.714,0.09,0.009,0.452,0,Significant
Goat Incidence,-0.025,0.054,-0.465,0.643,-0.114,0.064,0,Not Significant
(Intercept),0.892,0.033,26.707,0,0.837,0.947,1,Significant
Camel incidence,0.126,0.225,0.561,0.576,-0.244,0.496,1,Not Significant
Sheep incidence,1.072,0.622,1.724,0.088,0.049,2.094,1,Significant
Cattle incidence,0.179,0.133,1.343,0.182,-0.04,0.398,1,Not Significant
Goat Incidence,-0.029,0.053,-0.538,0.592,-0.116,0.059,1,Not Significant
(Intercept),0.897,0.033,27.445,0,0.843,0.95,2,Significant
Camel incidence,0.13,0.219,0.593,0.555,-0.23,0.49,2,Not Significant
Sheep incidence,1.224,0.605,2.024,0.046,0.229,2.22,2,Significant
Cattle incidence,0.178,0.13,1.373,0.173,-0.035,0.392,2,Not Significant
Goat Incidence,-0.03,0.052,-0.579,0.564,-0.115,0.055,2,Not Significant
(Intercept),0.9,0.032,28.175,0,0.847,0.952,3,Significant
Camel incidence,0.166,0.213,0.779,0.438,-0.184,0.516,3,Not Significant
Sheep incidence,1.02,0.588,1.734,0.086,0.052,1.988,3,Significant
Cattle incidence,0.228,0.126,1.802,0.075,0.02,0.435,3,Significant
Goat Incidence,-0.034,0.05,-0.68,0.498,-0.117,0.049,3,Not Significant
