variable,estimate,std.error,statistic,p.value,conf_low,conf_high,lag,significance
(Intercept),1.042,0.063,16.487,0,0.938,1.147,0,Significant
Cattle incidence,0.131,0.211,0.62,0.539,-0.216,0.477,0,Not Significant
Goat Incidence,-0.004,0.313,-0.011,0.991,-0.519,0.511,0,Not Significant
(Intercept),1.104,0.055,20.127,0,1.014,1.194,1,Significant
Cattle incidence,-0.203,0.193,-1.049,0.301,-0.521,0.115,1,Not Significant
Goat Incidence,0.329,0.305,1.075,0.29,-0.174,0.831,1,Not Significant
(Intercept),1.121,0.045,24.699,0,1.046,1.195,2,Significant
Cattle incidence,-0.027,0.165,-0.165,0.87,-0.299,0.244,2,Not Significant
Goat Incidence,0.042,0.247,0.169,0.867,-0.365,0.448,2,Not Significant
(Intercept),1.139,0.039,28.9,0,1.074,1.204,3,Significant
Cattle incidence,-0.022,0.146,-0.149,0.883,-0.263,0.219,3,Not Significant
Goat Incidence,0.006,0.235,0.026,0.98,-0.38,0.392,3,Not Significant
