"","county","year","pop"
"1","Baringo",2014,598102
"2","Baringo",2015,611244
"3","Baringo",2016,624675
"4","Baringo",2017,638401
"5","Baringo",2018,652428
"6","Baringo",2019,666763
"7","Baringo",2020,687000
"8","Baringo",2021,702000
"9","Bomet",2014,817740
"10","Bomet",2015,829015
"11","Bomet",2016,840445
"12","Bomet",2017,852033
"13","Bomet",2018,863780
"14","Bomet",2019,875689
"15","Bomet",2020,902000
"16","Bomet",2021,914000
"17","Bungoma",2014,1537222
"18","Bungoma",2015,1563012
"19","Bungoma",2016,1589234
"20","Bungoma",2017,1615896
"21","Bungoma",2018,1643006
"22","Bungoma",2019,1670570
"23","Bungoma",2020,1700000
"24","Bungoma",2021,1729000
"25","Busia",2014,810293
"26","Busia",2015,826324
"27","Busia",2016,842672
"28","Busia",2017,859343
"29","Busia",2018,876344
"30","Busia",2019,893681
"31","Busia",2020,914000
"32","Busia",2021,932000
"33","Elgeyo Marakwet",2014,422686
"34","Elgeyo Marakwet",2015,428862
"35","Elgeyo Marakwet",2016,435128
"36","Elgeyo Marakwet",2017,441485
"37","Elgeyo Marakwet",2018,447935
"38","Elgeyo Marakwet",2019,454480
"39","Elgeyo Marakwet",2020,474000
"40","Elgeyo Marakwet",2021,481000
"41","Embu",2014,577895
"42","Embu",2015,583909
"43","Embu",2016,589986
"44","Embu",2017,596126
"45","Embu",2018,602330
"46","Embu",2019,608599
"47","Embu",2020,629000
"48","Embu",2021,635000
"49","Garissa",2014,743978
"50","Garissa",2015,762507
"51","Garissa",2016,781497
"52","Garissa",2017,800960
"53","Garissa",2018,820908
"54","Garissa",2019,841353
"55","Garissa",2020,861000
"56","Garissa",2021,883000
"57","Homa Bay",2014,1027377
"58","Homa Bay",2015,1047489
"59","Homa Bay",2016,1067994
"60","Homa Bay",2017,1088901
"61","Homa Bay",2018,1110217
"62","Homa Bay",2019,1131950
"63","Homa Bay",2020,1162000
"64","Homa Bay",2021,1185000
"65","Isiolo",2014,238079
"66","Isiolo",2015,243784
"67","Isiolo",2016,249625
"68","Isiolo",2017,255606
"69","Isiolo",2018,261731
"70","Isiolo",2019,268002
"71","Isiolo",2020,294000
"72","Isiolo",2021,301000
"73","Kajiado",2014,989478
"74","Kajiado",2015,1013913
"75","Kajiado",2016,1038952
"76","Kajiado",2017,1064609
"77","Kajiado",2018,1090900
"78","Kajiado",2019,1117840
"79","Kajiado",2020,1179000
"80","Kajiado",2021,1209000
"81","Kakamega",2014,1706308
"82","Kakamega",2015,1737408
"83","Kakamega",2016,1769074
"84","Kakamega",2017,1801318
"85","Kakamega",2018,1834149
"86","Kakamega",2019,1867579
"87","Kakamega",2020,1897000
"88","Kakamega",2021,1932000
"89","Kericho",2014,842955
"90","Kericho",2015,854404
"91","Kericho",2016,866009
"92","Kericho",2017,877771
"93","Kericho",2018,889693
"94","Kericho",2019,901777
"95","Kericho",2020,917000
"96","Kericho",2021,930000
"97","Kiambu",2014,2191022
"98","Kiambu",2015,2234597
"99","Kiambu",2016,2279038
"100","Kiambu",2017,2324363
"101","Kiambu",2018,2370589
"102","Kiambu",2019,2417735
"103","Kiambu",2020,2501000
"104","Kiambu",2021,2552000
"105","Kilifi",2014,1320154
"106","Kilifi",2015,1345860
"107","Kilifi",2016,1372066
"108","Kilifi",2017,1398783
"109","Kilifi",2018,1426020
"110","Kilifi",2019,1453787
"111","Kilifi",2020,1489000
"112","Kilifi",2021,1518000
"113","Kirinyaga",2014,585497
"114","Kirinyaga",2015,590397
"115","Kirinyaga",2016,595338
"116","Kirinyaga",2017,600321
"117","Kirinyaga",2018,605345
"118","Kirinyaga",2019,610411
"119","Kirinyaga",2020,637000
"120","Kirinyaga",2021,642000
"121","Kisii",2014,1207817
"122","Kisii",2015,1219401
"123","Kisii",2016,1231096
"124","Kisii",2017,1242904
"125","Kisii",2018,1254825
"126","Kisii",2019,1266860
"127","Kisii",2020,1307000
"128","Kisii",2021,1319000
"129","Kisumu",2014,1060632
"130","Kisumu",2015,1078975
"131","Kisumu",2016,1097635
"132","Kisumu",2017,1116618
"133","Kisumu",2018,1135929
"134","Kisumu",2019,1155574
"135","Kisumu",2020,1186000
"136","Kisumu",2021,1207000
"137","Kitui",2014,1069633
"138","Kitui",2015,1082624
"139","Kitui",2016,1095773
"140","Kitui",2017,1109082
"141","Kitui",2018,1122553
"142","Kitui",2019,1136187
"143","Kitui",2020,1186000
"144","Kitui",2021,1201000
"145","Kwale",2014,768857
"146","Kwale",2015,787521
"147","Kwale",2016,806638
"148","Kwale",2017,826219
"149","Kwale",2018,846276
"150","Kwale",2019,866820
"151","Kwale",2020,879000
"152","Kwale",2021,901000
"153","Laikipia",2014,469694
"154","Laikipia",2015,479084
"155","Laikipia",2016,488662
"156","Laikipia",2017,498431
"157","Laikipia",2018,508396
"158","Laikipia",2019,518560
"159","Laikipia",2020,529000
"160","Laikipia",2021,539000
"161","Lamu",2014,126352
"162","Lamu",2015,129685
"163","Lamu",2016,133106
"164","Lamu",2017,136617
"165","Lamu",2018,140221
"166","Lamu",2019,143920
"167","Lamu",2020,155000
"168","Lamu",2021,159000
"169","Machakos",2014,1350195
"170","Machakos",2015,1364247
"171","Machakos",2016,1378445
"172","Machakos",2017,1392791
"173","Machakos",2018,1407286
"174","Machakos",2019,1421932
"175","Machakos",2020,1442000
"176","Machakos",2021,1457000
"177","Makueni",2014,934042
"178","Makueni",2015,944526
"179","Makueni",2016,955128
"180","Makueni",2017,965849
"181","Makueni",2018,976690
"182","Makueni",2019,987653
"183","Makueni",2020,1008000
"184","Makueni",2021,1019000
"185","Mandera",2014,761572
"186","Mandera",2015,781661
"187","Mandera",2016,802280
"188","Mandera",2017,823442
"189","Mandera",2018,845163
"190","Mandera",2019,867457
"191","Mandera",2020,887000
"192","Mandera",2021,911000
"193","Marsabit",2014,408240
"194","Marsabit",2015,418065
"195","Marsabit",2016,428126
"196","Marsabit",2017,438429
"197","Marsabit",2018,448980
"198","Marsabit",2019,459785
"199","Marsabit",2020,480000
"200","Marsabit",2021,491000
"201","Meru",2014,1450757
"202","Meru",2015,1469270
"203","Meru",2016,1488019
"204","Meru",2017,1507007
"205","Meru",2018,1526238
"206","Meru",2019,1545714
"207","Meru",2020,1565000
"208","Meru",2021,1586000
"209","Migori",2014,988235
"210","Migori",2015,1012640
"211","Migori",2016,1037647
"212","Migori",2017,1063272
"213","Migori",2018,1089530
"214","Migori",2019,1116436
"215","Migori",2020,1147000
"216","Migori",2021,1176000
"217","Mombasa",2014,1082243
"218","Mombasa",2015,1106362
"219","Mombasa",2016,1131018
"220","Mombasa",2017,1156224
"221","Mombasa",2018,1181991
"222","Mombasa",2019,1208333
"223","Mombasa",2020,1228000
"224","Mombasa",2021,1256000
"225","Murang'a",2014,1001307
"226","Murang'a",2015,1012137
"227","Murang'a",2016,1023084
"228","Murang'a",2017,1034149
