identifier,grouping,county,keyhealthindicator,date,cases_rate
Trans Nzoia_Measles_2019/February,3-Cases Reported,Trans Nzoia,Measles,02/01/2019,6
Turkana_Measles-Rubella 1 doses Administered_2019/February,2-Immunization,Turkana,Measles-Rubella 1 doses Administered,02/01/2019,3156
Turkana_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/February,2-Immunization,Turkana,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2019,729
Turkana_Measles-Rubella 2 Dose Administered >2 yrs_2019/February,2-Immunization,Turkana,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2019,73
Turkana_Measles doses in stock at the beginning of the Month_2019/February,2-Immunization,Turkana,Measles doses in stock at the beginning of the Month,02/01/2019,22462
Turkana_Measles doses received within the Month_2019/February,2-Immunization,Turkana,Measles doses received within the Month,02/01/2019,9430
Turkana_Measles doses remaining  at the end Month_2019/February,2-Immunization,Turkana,Measles doses remaining  at the end Month,02/01/2019,25136
Turkana_Measles_2019/February,3-Cases Reported,Turkana,Measles,02/01/2019,0
Uasin Gishu_Measles-Rubella 1 doses Administered_2019/February,2-Immunization,Uasin Gishu,Measles-Rubella 1 doses Administered,02/01/2019,2610
Uasin Gishu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/February,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2019,1346
Uasin Gishu_Measles-Rubella 2 Dose Administered >2 yrs_2019/February,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2019,283
Uasin Gishu_Measles doses in stock at the beginning of the Month_2019/February,2-Immunization,Uasin Gishu,Measles doses in stock at the beginning of the Month,02/01/2019,12036
Uasin Gishu_Measles doses received within the Month_2019/February,2-Immunization,Uasin Gishu,Measles doses received within the Month,02/01/2019,13302
Uasin Gishu_Measles doses remaining  at the end Month_2019/February,2-Immunization,Uasin Gishu,Measles doses remaining  at the end Month,02/01/2019,14522
Uasin Gishu_Measles_2019/February,3-Cases Reported,Uasin Gishu,Measles,02/01/2019,4
Vihiga_Measles-Rubella 1 doses Administered_2019/February,2-Immunization,Vihiga,Measles-Rubella 1 doses Administered,02/01/2019,1359
Vihiga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/February,2-Immunization,Vihiga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2019,810
Vihiga_Measles-Rubella 2 Dose Administered >2 yrs_2019/February,2-Immunization,Vihiga,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2019,64
Vihiga_Measles doses in stock at the beginning of the Month_2019/February,2-Immunization,Vihiga,Measles doses in stock at the beginning of the Month,02/01/2019,6380
Vihiga_Measles doses received within the Month_2019/February,2-Immunization,Vihiga,Measles doses received within the Month,02/01/2019,6340
Vihiga_Measles doses remaining  at the end Month_2019/February,2-Immunization,Vihiga,Measles doses remaining  at the end Month,02/01/2019,7260
Vihiga_Measles_2019/February,3-Cases Reported,Vihiga,Measles,02/01/2019,3
Wajir_Measles-Rubella 1 doses Administered_2019/February,2-Immunization,Wajir,Measles-Rubella 1 doses Administered,02/01/2019,1503
Wajir_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/February,2-Immunization,Wajir,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2019,784
Wajir_Measles-Rubella 2 Dose Administered >2 yrs_2019/February,2-Immunization,Wajir,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2019,652
Wajir_Measles doses in stock at the beginning of the Month_2019/February,2-Immunization,Wajir,Measles doses in stock at the beginning of the Month,02/01/2019,3110
Wajir_Measles doses received within the Month_2019/February,2-Immunization,Wajir,Measles doses received within the Month,02/01/2019,4220
Wajir_Measles doses remaining  at the end Month_2019/February,2-Immunization,Wajir,Measles doses remaining  at the end Month,02/01/2019,3300
Wajir_Measles_2019/February,3-Cases Reported,Wajir,Measles,02/01/2019,46
West Pokot_Measles-Rubella 1 doses Administered_2019/February,2-Immunization,West Pokot,Measles-Rubella 1 doses Administered,02/01/2019,538
West Pokot_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/February,2-Immunization,West Pokot,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2019,137
West Pokot_Measles-Rubella 2 Dose Administered >2 yrs_2019/February,2-Immunization,West Pokot,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2019,13
West Pokot_Measles doses in stock at the beginning of the Month_2019/February,2-Immunization,West Pokot,Measles doses in stock at the beginning of the Month,02/01/2019,4934
West Pokot_Measles doses received within the Month_2019/February,2-Immunization,West Pokot,Measles doses received within the Month,02/01/2019,840
West Pokot_Measles doses remaining  at the end Month_2019/February,2-Immunization,West Pokot,Measles doses remaining  at the end Month,02/01/2019,4454
West Pokot_Measles_2019/February,3-Cases Reported,West Pokot,Measles,02/01/2019,0
Baringo_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Baringo,Measles-Rubella 1 doses Administered,03/01/2019,1602
Baringo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Baringo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,912
Baringo_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Baringo,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,93
Baringo_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Baringo,Measles doses in stock at the beginning of the Month,03/01/2019,10107
Baringo_Measles doses received within the Month_2019/March,2-Immunization,Baringo,Measles doses received within the Month,03/01/2019,3960
Baringo_Measles doses remaining  at the end Month_2019/March,2-Immunization,Baringo,Measles doses remaining  at the end Month,03/01/2019,8320
Baringo_Measles_2019/March,3-Cases Reported,Baringo,Measles,03/01/2019,0
Bomet_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Bomet,Measles-Rubella 1 doses Administered,03/01/2019,1895
Bomet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Bomet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1376
Bomet_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Bomet,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,28
Bomet_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Bomet,Measles doses in stock at the beginning of the Month,03/01/2019,9682
Bomet_Measles doses received within the Month_2019/March,2-Immunization,Bomet,Measles doses received within the Month,03/01/2019,7450
Bomet_Measles doses remaining  at the end Month_2019/March,2-Immunization,Bomet,Measles doses remaining  at the end Month,03/01/2019,8430
Bomet_Measles_2019/March,3-Cases Reported,Bomet,Measles,03/01/2019,2
Bungoma_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Bungoma,Measles-Rubella 1 doses Administered,03/01/2019,4142
Bungoma_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Bungoma,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1672
Bungoma_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Bungoma,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,131
Bungoma_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Bungoma,Measles doses in stock at the beginning of the Month,03/01/2019,12850
Bungoma_Measles doses received within the Month_2019/March,2-Immunization,Bungoma,Measles doses received within the Month,03/01/2019,14740
Bungoma_Measles doses remaining  at the end Month_2019/March,2-Immunization,Bungoma,Measles doses remaining  at the end Month,03/01/2019,13850
Bungoma_Measles_2019/March,3-Cases Reported,Bungoma,Measles,03/01/2019,7
Busia_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Busia,Measles-Rubella 1 doses Administered,03/01/2019,2339
Busia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Busia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1147
Busia_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Busia,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,71
Busia_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Busia,Measles doses in stock at the beginning of the Month,03/01/2019,7380
Busia_Measles doses received within the Month_2019/March,2-Immunization,Busia,Measles doses received within the Month,03/01/2019,7710
Busia_Measles doses remaining  at the end Month_2019/March,2-Immunization,Busia,Measles doses remaining  at the end Month,03/01/2019,6525
Busia_Measles_2019/March,3-Cases Reported,Busia,Measles,03/01/2019,4
Elgeyo/Marakwet_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 1 doses Administered,03/01/2019,1412
Elgeyo/Marakwet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,557
Elgeyo/Marakwet_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,1030
Elgeyo/Marakwet_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Elgeyo/Marakwet,Measles doses in stock at the beginning of the Month,03/01/2019,8920
Elgeyo/Marakwet_Measles doses received within the Month_2019/March,2-Immunization,Elgeyo/Marakwet,Measles doses received within the Month,03/01/2019,4690
Elgeyo/Marakwet_Measles doses remaining  at the end Month_2019/March,2-Immunization,Elgeyo/Marakwet,Measles doses remaining  at the end Month,03/01/2019,8832
Elgeyo/Marakwet_Measles_2019/March,3-Cases Reported,Elgeyo/Marakwet,Measles,03/01/2019,0
Embu_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Embu,Measles-Rubella 1 doses Administered,03/01/2019,1239
Embu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Embu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,890
Embu_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Embu,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,14
Embu_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Embu,Measles doses in stock at the beginning of the Month,03/01/2019,4711
Embu_Measles doses received within the Month_2019/March,2-Immunization,Embu,Measles doses received within the Month,03/01/2019,4710
Embu_Measles doses remaining  at the end Month_2019/March,2-Immunization,Embu,Measles doses remaining  at the end Month,03/01/2019,4990
Embu_Measles_2019/March,3-Cases Reported,Embu,Measles,03/01/2019,0
Garissa_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Garissa,Measles-Rubella 1 doses Administered,03/01/2019,1771
Garissa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Garissa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,625
Garissa_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Garissa,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,61
Garissa_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Garissa,Measles doses in stock at the beginning of the Month,03/01/2019,8987
Garissa_Measles doses received within the Month_2019/March,2-Immunization,Garissa,Measles doses received within the Month,03/01/2019,6290
Garissa_Measles doses remaining  at the end Month_2019/March,2-Immunization,Garissa,Measles doses remaining  at the end Month,03/01/2019,8561
Garissa_Measles_2019/March,3-Cases Reported,Garissa,Measles,03/01/2019,2
Homa Bay_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Homa Bay,Measles-Rubella 1 doses Administered,03/01/2019,3207
Homa Bay_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1109
Homa Bay_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,111
Homa Bay_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Homa Bay,Measles doses in stock at the beginning of the Month,03/01/2019,12131
Homa Bay_Measles doses received within the Month_2019/March,2-Immunization,Homa Bay,Measles doses received within the Month,03/01/2019,12680
Homa Bay_Measles doses remaining  at the end Month_2019/March,2-Immunization,Homa Bay,Measles doses remaining  at the end Month,03/01/2019,12424
Homa Bay_Measles_2019/March,3-Cases Reported,Homa Bay,Measles,03/01/2019,14
Isiolo_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Isiolo,Measles-Rubella 1 doses Administered,03/01/2019,522
Isiolo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Isiolo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,219
